1034.wav|3. غایب: هغه څوک یا شی، چې د هغوی په اړه خبرې کېږي. لکه: دی، دا، دوی، هغوی...|3. غایب: هغه څوک یا شی، چې د هغوی په اړه خبرې کېږي. لکه: دی، دا، دوی، هغوی...
1035.wav|دویم: پوښتني یا استفهامي ضمیرونه|دویم: پوښتني یا استفهامي ضمیرونه
1036.wav|دا هغه ضمیرونه دي، چې د نوم پر ځای د پوښتنې په ډول کارول کېږي.|دا هغه ضمیرونه دي، چې د نوم پر ځای د پوښتنې په ډول کارول کېږي.
1037.wav|لکه: څوک، چا، څومره، کوم...|لکه: څوک، چا، څومره، کوم...
1038.wav|دا ضمیرونه ټول په سوالیه جملو کې کارول کېږي.|دا ضمیرونه ټول په سوالیه جملو کې کارول کېږي.
1039.wav|درېیم: مبهم یا نا څرګند ضمیرونه|درېیم: مبهم یا نا څرګند ضمیرونه
1040.wav|هغه ضمیرونه دي، چې یو نوم په ناڅرګند حالت کې ښیي. دا ضمیرونه که د پوښتنې په جمله کې راشي استفهامي ضمیر او که نه، نا څرګند ضمیرونه بلل کېږي.|هغه ضمیرونه دي، چې یو نوم په ناڅرګند حالت کې ښیي. دا ضمیرونه که د پوښتنې په جمله کې راشي استفهامي ضمیر او که نه، نا څرګند ضمیرونه بلل کېږي.
1041.wav|لکه: چا، هېڅ، ځینې، څه، بل، نور، ټول...|لکه: چا، هېڅ، ځینې، څه، بل، نور، ټول...
1042.wav|څلورم: مشترک ضمیرونه|څلورم: مشترک ضمیرونه
1043.wav|دا ضمیرونه انعکاسي ضمیرونه هم بلل کېږي.|دا ضمیرونه انعکاسي ضمیرونه هم بلل کېږي.
1044.wav|لکه: احمد خپل کتاب ما ته را کړ. په دې جمله کې خپل مشترک ملکي ضمیر دی.|لکه: احمد خپل کتاب ما ته را کړ. په دې جمله کې خپل مشترک ملکي ضمیر دی.
1045.wav|ضمیر د حالت له مخې:|ضمیر د حالت له مخې:
1046.wav|1. فاعلي حالت|1. فاعلي حالت
1047.wav|زه: زه ښوونځي ته ځم. موږ ښوونځي ته ځو.|زه: زه ښوونځي ته ځم. موږ ښوونځي ته ځو.
1048.wav|ما: ما ډوډۍ وخوړه. موږ ډوډۍ وخوړه.|ما: ما ډوډۍ وخوړه. موږ ډوډۍ وخوړه.
1049.wav|2. مفعولي حالت|2. مفعولي حالت
1050.wav|زه: احمد زه ووهلم. دوی موږ ته وویل.|زه: احمد زه ووهلم. دوی موږ ته وویل.
1051.wav|ما: احمد ما ته وویل. محمود تاسې بیایي.|ما: احمد ما ته وویل. محمود تاسې بیایي.
1052.wav|3. ملکي حالت|3. ملکي حالت
1053.wav|زما: زما کتاب را کړه.|زما: زما کتاب را کړه.
1054.wav|زموږ: زموږ کالي سپین رنګ لري.|زموږ: زموږ کالي سپین رنګ لري.
1055.wav|ستاینوم یا صفت|ستاینوم یا صفت
1056.wav|صفت هغه کلیمه ده، چې په نوم باندې اغېز کوي او د هغه کیفیت، شمېر یا مقدار په ګوته کوي.|صفت هغه کلیمه ده، چې په نوم باندې اغېز کوي او د هغه کیفیت، شمېر یا مقدار په ګوته کوي.
1057.wav|لکه: ملالۍ تکړه ښوونکې ده. دلته تکړه صفت دی او د ښوونکې کیفیت یې بیان کړی دی.|لکه: ملالۍ تکړه ښوونکې ده. دلته تکړه صفت دی او د ښوونکې کیفیت یې بیان کړی دی.
1058.wav|احمد پنځه قلمونه لري. دلته پنځه عددي صفت دی، د قلمونو شمېر یې بیان کړی دی.|احمد پنځه قلمونه لري. دلته پنځه عددي صفت دی، د قلمونو شمېر یې بیان کړی دی.
1059.wav|د صفت ډولونه|د صفت ډولونه
1060.wav|1. اصلي صفت|1. اصلي صفت
1061.wav|هغه صفت دی، چې د نوم کیفیت یا ښه والی، بدوالی، رنګ، کوچنی او یا لوی والی بیانوي.|هغه صفت دی، چې د نوم کیفیت یا ښه والی، بدوالی، رنګ، کوچنی او یا لوی والی بیانوي.
1062.wav|لکه: زه په دې لوی ښار کې اوسېږم. دلته لوی صفت دی.|لکه: زه په دې لوی ښار کې اوسېږم. دلته لوی صفت دی.
1063.wav|احمد خپل سور موټر پلوري. دلته سور صفت دی.|احمد خپل سور موټر پلوري. دلته سور صفت دی.
1064.wav|2. عددي صفت|2. عددي صفت
1065.wav|هغه صفت ته ویل کېږي، چې د نوم شمېر، درجه او کسري حالت بیانوي.|هغه صفت ته ویل کېږي، چې د نوم شمېر، درجه او کسري حالت بیانوي.
1066.wav|لکه: څلور نجونې ښوونځي ته ځي. دلته څلور شمېر ښیي.|لکه: څلور نجونې ښوونځي ته ځي. دلته څلور شمېر ښیي.
1067.wav|هر پنځم کتاب زوړ شوی دی. دلته پنځم درجه ښیي.|هر پنځم کتاب زوړ شوی دی. دلته پنځم درجه ښیي.
1068.wav|هره لسمه ښځه سواد لري. دلته لسمه کسري حالت ښیي.|هره لسمه ښځه سواد لري. دلته لسمه کسري حالت ښیي.
1069.wav|3. استفهامي یا د پوښتنې صفت:|3. استفهامي یا د پوښتنې صفت:
1070.wav|هغه صفت ته ویل کېږي، چې د یو اسم د کیفیت، ماهیت او مقدار د مالومولو لپاره کارول کېږي.|هغه صفت ته ویل کېږي، چې د یو اسم د کیفیت، ماهیت او مقدار د مالومولو لپاره کارول کېږي.
1071.wav|لکه: کوم کور د واخیست؟|لکه: کوم کور د واخیست؟
1072.wav|نن څو ماشومان ښوونځي ته نه دي راغلي؟|نن څو ماشومان ښوونځي ته نه دي راغلي؟
1073.wav|احمد څومره غنم غواړي؟|احمد څومره غنم غواړي؟
1074.wav|په پورتنیو جملو کې (کوم، څو او څومره) استفهامي صفتونه دي.|په پورتنیو جملو کې (کوم، څو او څومره) استفهامي صفتونه دي.
1075.wav|4. مبهم یا نا څرګند صفت|4. مبهم یا نا څرګند صفت
1076.wav|هغه صفت ته وایي، چې د یو اسم غیر معین مقدار ښیي.|هغه صفت ته وایي، چې د یو اسم غیر معین مقدار ښیي.
1077.wav|لکه: احمد ډېر کتابونه لري.|لکه: احمد ډېر کتابونه لري.
1078.wav|لږ ډوډۍ راوړه چې ویې خورو.|لږ ډوډۍ راوړه چې ویې خورو.
1079.wav|5. اشاري صفت|5. اشاري صفت
1080.wav|هغه صفت ته وایي، چې یو نوم ته اشاره کوي.|هغه صفت ته وایي، چې یو نوم ته اشاره کوي.
1081.wav|لکه: هغه، دغه، هغې، دغې...|لکه: هغه، دغه، هغې، دغې...
1082.wav|6. نسبتي صفت|6. نسبتي صفت
1083.wav|هغه صفت ته وایي، چې یو نوم ته یې نسبت کېږي.|هغه صفت ته وایي، چې یو نوم ته یې نسبت کېږي.
1084.wav|لکه: احمد میړنی ځوان دی. دلته میړنی نسبتي صفت دی.|لکه: احمد میړنی ځوان دی. دلته میړنی نسبتي صفت دی.
1085.wav|ورېښمین ټوکر ډېر ګران وي. دلته ورېښمین نسبتي صفت دی.|ورېښمین ټوکر ډېر ګران وي. دلته ورېښمین نسبتي صفت دی.
1086.wav|صفت او موصوف|صفت او موصوف
1087.wav|په پښتو ژبه کې موصوف له صفت وروسته راځي. لکه:|په پښتو ژبه کې موصوف له صفت وروسته راځي. لکه:
1088.wav|ښه سړی                               ښایسته هوا|ښه سړی                               ښایسته هوا
1089.wav|ښکلې هیلۍ                            په زړه پورې خبر|ښکلې هیلۍ                            په زړه پورې خبر
1090.wav|ښه ورځ                                ښه ښوونکی|ښه ورځ                                ښه ښوونکی
1091.wav|خوږ ژوند                              سور کمیس|خوږ ژوند                              سور کمیس
1092.wav|بد فکر                                  سپین رنګ|بد فکر                                  سپین رنګ
1093.wav|قید|قید
1094.wav|قید هغه کلیمه ده، چې یو فعل، صفت یا بل قید بیانوي.|قید هغه کلیمه ده، چې یو فعل، صفت یا بل قید بیانوي.
1095.wav|لکه: ملالۍ په ژړا ولاړه. په دې جمله کې ژړا قید دی.|لکه: ملالۍ په ژړا ولاړه. په دې جمله کې ژړا قید دی.
1096.wav|د قید ډولونه:|د قید ډولونه:
1097.wav|1. د وضعیت قید|1. د وضعیت قید
1098.wav|هغه قید دی، چې د فعل وضعیت را ښیي.|هغه قید دی، چې د فعل وضعیت را ښیي.
1099.wav|لکه: ژر ژر، ورو ورو، په خندا، په بیړه، په ژړا...|لکه: ژر ژر، ورو ورو، په خندا، په بیړه، په ژړا...
1100.wav|احمد په بیړه ولاړ.|احمد په بیړه ولاړ.
